ts_utc,equity,cash,n_positions,day_pct
2026-07-22T14:40:00Z,502.45,328.03,2,-0.0060
2026-07-22T14:50:00Z,502.45,387.43,1,-0.0060
2026-07-22T15:00:00Z,502.55,332.43,2,-0.0058
2026-07-22T15:10:00Z,502.79,387.54,1,-0.0053
2026-07-22T15:20:00Z,502.99,502.99,0,-0.0050
2026-07-22T15:30:00Z,502.99,382.99,2,-0.0050
2026-07-22T15:40:00Z,502.66,387.90,1,-0.0056
2026-07-22T15:50:02Z,502.79,387.90,1,-0.0053
2026-07-22T16:00:00Z,502.64,342.90,2,-0.0056
2026-07-22T16:10:00Z,502.84,387.96,1,-0.0053
2026-07-22T16:20:00Z,502.63,387.96,1,-0.0057
2026-07-22T16:30:00Z,502.51,387.96,1,-0.0059
2026-07-22T16:40:00Z,503.45,327.96,2,-0.0041
2026-07-22T16:50:01Z,502.87,383.03,1,-0.0052
2026-07-22T17:00:00Z,502.94,368.03,2,-0.0051
2026-07-22T17:10:01Z,502.86,382.90,1,-0.0052
2026-07-22T17:20:01Z,502.46,442.46,1,-0.0060
2026-07-22T17:30:00Z,502.39,442.39,1,-0.0061
2026-07-22T17:40:01Z,502.58,442.58,1,-0.0058
2026-07-22T17:50:00Z,502.59,437.59,1,-0.0057
2026-07-22T18:00:00Z,502.40,442.40,1,-0.0061
2026-07-22T18:10:00Z,502.37,442.37,1,-0.0062
2026-07-22T18:20:00Z,502.51,442.51,1,-0.0059
2026-07-22T18:30:00Z,502.39,442.39,1,-0.0062
2026-07-22T18:40:00Z,502.14,442.39,1,-0.0066
2026-07-22T18:50:00Z,502.25,442.25,1,-0.0064
2026-07-22T19:00:00Z,502.32,442.32,1,-0.0063
2026-07-22T19:10:00Z,502.18,442.18,1,-0.0066
2026-07-22T19:20:00Z,502.24,442.24,1,-0.0064
2026-07-22T19:30:00Z,502.22,442.22,1,-0.0065
2026-07-22T19:40:00Z,502.04,442.04,1,-0.0068
2026-07-22T19:50:01Z,502.04,442.04,1,-0.0068
2026-07-22T20:00:01Z,502.00,442.00,1,-0.0069
2026-07-22T20:10:00Z,502.05,442.05,1,-0.0068
2026-07-22T20:20:00Z,502.15,437.15,1,-0.0066
2026-07-22T20:30:00Z,502.11,442.11,1,-0.0067
2026-07-22T20:40:00Z,502.11,442.11,1,-0.0067
2026-07-22T20:50:01Z,502.08,442.08,1,-0.0068
2026-07-22T21:00:00Z,502.09,442.09,1,-0.0067
2026-07-22T21:10:00Z,502.17,442.17,1,-0.0066
2026-07-22T21:20:00Z,502.16,442.16,1,-0.0066
2026-07-22T21:30:00Z,502.16,442.16,1,-0.0066
2026-07-22T21:40:00Z,502.31,432.31,1,-0.0063
2026-07-22T21:50:00Z,502.43,437.43,1,-0.0061
2026-07-22T22:00:00Z,502.38,437.38,1,-0.0062
2026-07-22T22:10:00Z,502.32,437.32,1,-0.0063
2026-07-22T22:20:00Z,502.31,432.31,1,-0.0063
2026-07-22T22:30:00Z,502.38,442.38,1,-0.0062
2026-07-22T22:40:00Z,502.32,437.32,1,-0.0063
2026-07-22T22:50:00Z,502.35,437.35,1,-0.0062
2026-07-22T23:00:00Z,502.37,437.37,1,-0.0062
2026-07-22T23:10:00Z,502.30,442.30,1,-0.0063
2026-07-22T23:20:00Z,502.15,442.15,1,-0.0066
2026-07-22T23:30:00Z,502.22,442.22,1,-0.0065
2026-07-22T23:40:00Z,502.23,442.23,1,-0.0065
2026-07-22T23:50:00Z,502.27,442.27,1,-0.0064
2026-07-23T00:00:00Z,502.35,442.35,1,-0.0062
2026-07-23T00:10:00Z,502.43,387.35,1,-0.0061
2026-07-23T00:20:00Z,502.34,387.35,1,-0.0063
2026-07-23T00:30:00Z,502.51,442.51,1,-0.0059
2026-07-23T00:40:00Z,502.46,437.46,1,-0.0060
2026-07-23T00:50:00Z,502.43,387.46,1,-0.0061
2026-07-23T01:00:00Z,502.21,442.21,1,-0.0065
2026-07-23T01:10:00Z,502.18,437.18,1,-0.0066
2026-07-23T01:20:00Z,502.09,442.09,1,-0.0067
2026-07-23T01:30:00Z,502.11,442.11,1,-0.0067
2026-07-23T01:40:00Z,501.90,441.90,1,-0.0071
